Time (s),GPU Utilization (%),Memory Used (GB)
0.0013654232025146484,0,7.961669921875
5.006930351257324,97,8.5123291015625
10.011949300765991,100,8.5045166015625
15.018075227737427,98,8.51251220703125
20.024017572402954,100,8.5123291015625
25.03016948699951,92,8.5123291015625
30.031559705734253,100,8.531494140625
35.03714084625244,100,8.53399658203125
40.04288387298584,100,8.51336669921875
45.044527530670166,100,8.51312255859375
50.050297021865845,94,8.514404296875
55.0558545589447,92,8.50946044921875
60.06576871871948,97,8.4896240234375
65.07280731201172,100,8.4974365234375
70.07831382751465,100,8.4896240234375
75.08653712272644,100,8.48919677734375
80.092205286026,97,8.49310302734375
85.09809446334839,99,9.90325927734375
90.10417342185974,100,9.89935302734375
95.11034536361694,99,9.89935302734375
100.1158127784729,100,9.89935302734375
105.1208267211914,99,9.89935302734375
110.12616658210754,100,9.89935302734375
115.13184714317322,100,9.89935302734375
120.13715481758118,100,9.89935302734375
125.14405226707458,100,9.90325927734375
130.14902710914612,100,9.89935302734375
135.15408539772034,99,9.89935302734375
140.16009879112244,100,9.89935302734375
145.16588139533997,99,9.89935302734375
150.17116117477417,100,9.89935302734375
155.17691493034363,100,9.89923095703125
160.1818072795868,99,9.89923095703125
165.18678188323975,100,9.89923095703125
170.19212412834167,99,9.89923095703125
175.19794130325317,100,9.89923095703125
180.20313692092896,100,9.89923095703125
185.20896363258362,100,9.90313720703125
190.21390414237976,99,9.89923095703125
195.22253155708313,100,9.89923095703125
200.2278172969818,99,9.89923095703125
205.23310661315918,99,9.89923095703125
210.23890256881714,100,9.89923095703125
215.24391889572144,100,9.89923095703125
220.249098777771,100,9.89923095703125
225.25487637519836,100,9.89923095703125
230.25980138778687,97,9.89923095703125
235.2654149532318,100,9.89532470703125
240.2709722518921,100,9.89923095703125
245.27702450752258,97,9.89923095703125
250.2820794582367,100,9.89532470703125
255.2879719734192,100,9.89923095703125
260.2911694049835,92,9.89532470703125
265.2950348854065,92,9.8953857421875
270.3000555038452,100,9.89923095703125
275.30474853515625,100,9.89532470703125
280.3104748725891,100,9.89532470703125
285.31633257865906,97,9.89532470703125
290.3191394805908,97,9.89532470703125
295.32527446746826,97,9.89532470703125
300.3309588432312,97,9.89532470703125
305.33682560920715,100,9.89532470703125
310.34212493896484,100,9.8992919921875
315.3478877544403,99,9.89532470703125
320.35304379463196,100,9.89532470703125
325.3580815792084,100,9.89532470703125
330.3639295101166,100,9.89532470703125
335.3691167831421,100,9.89532470703125
340.37518978118896,100,9.89532470703125
345.3809471130371,100,9.89532470703125
350.38603496551514,100,9.89532470703125
355.3909373283386,100,9.89532470703125
360.3958613872528,99,9.89532470703125
365.4022104740143,100,9.89532470703125
370.40780663490295,100,9.89532470703125
375.41361713409424,100,9.89532470703125
380.4181046485901,100,9.89532470703125
385.4220826625824,99,9.89532470703125
390.4265344142914,100,9.89532470703125
395.43121004104614,99,9.89532470703125
400.43713092803955,100,9.89532470703125
405.4432108402252,100,9.89532470703125
410.4492344856262,100,9.89532470703125
415.45491576194763,100,9.89532470703125
420.46099853515625,100,9.89532470703125
425.4680869579315,100,9.89923095703125
430.4739406108856,100,9.89532470703125
435.47915148735046,100,9.89532470703125
440.48496985435486,100,9.89532470703125
445.48980617523193,100,9.89532470703125
450.4950485229492,100,9.89532470703125
455.5010266304016,100,9.89642333984375
460.5070643424988,100,9.89251708984375
465.51223850250244,94,9.89251708984375
470.5183935165405,94,9.89251708984375
475.530935049057,100,9.89251708984375
480.5357518196106,100,9.89251708984375
485.5397391319275,100,9.89251708984375
490.5451183319092,100,9.89251708984375
495.5510182380676,97,9.89251708984375
500.55708956718445,99,9.89251708984375
505.56315422058105,98,9.89251708984375
510.5691645145416,98,9.89251708984375
515.5752141475677,100,9.89251708984375
520.5810749530792,100,9.89251708984375
525.5829455852509,100,9.89251708984375
530.5891621112823,100,9.89251708984375
535.5950303077698,100,9.89642333984375
540.5998902320862,100,9.89251708984375
545.6063463687897,100,9.89251708984375
550.6118230819702,100,9.89251708984375
555.6172337532043,100,9.89251708984375
560.6230924129486,100,9.89251708984375
565.6288373470306,99,9.89251708984375
570.6341269016266,100,9.89251708984375
575.6401734352112,100,9.881591796875
580.6458139419556,100,9.881591796875
585.651074886322,100,9.881591796875
590.6568353176117,100,9.881591796875
595.6618752479553,100,9.881591796875
600.6670768260956,100,9.881591796875
605.6729102134705,100,9.881591796875
610.6782689094543,100,9.881591796875
615.6846799850464,100,9.881591796875
620.6905980110168,100,9.881591796875
625.6961674690247,100,9.881591796875
630.701990365982,100,9.881591796875
635.7078959941864,99,9.881591796875
640.7091445922852,100,9.881591796875
645.715247631073,100,9.881591796875
650.7209010124207,100,9.881591796875
655.7260394096375,100,9.881591796875
660.7320137023926,100,9.881591796875
665.7389736175537,100,9.885498046875
670.7441327571869,100,9.881591796875
675.7499232292175,99,9.881591796875
680.7551898956299,100,9.885498046875
685.761221408844,100,9.881591796875
690.7670006752014,100,9.881591796875
695.7720811367035,97,9.881591796875
700.7780902385712,97,9.881591796875
705.7838234901428,100,9.881591796875
710.7892472743988,100,9.881591796875
715.795262336731,92,9.881591796875
720.8012959957123,100,9.881591796875
725.8045818805695,100,9.885498046875
730.8103432655334,97,9.881591796875
735.813276052475,97,9.881591796875
740.8192763328552,97,9.881591796875
745.8251452445984,100,9.881591796875
750.8269646167755,100,9.881591796875
755.8380625247955,97,9.881591796875
760.843932390213,97,9.881591796875
765.8490748405457,100,9.885498046875
770.8552334308624,99,9.881591796875
775.8611557483673,100,9.881591796875
780.8673124313354,100,9.881591796875
785.8742842674255,99,9.885498046875
790.8804833889008,100,9.881591796875
795.8865466117859,99,9.881591796875
800.8924422264099,100,9.881591796875
805.8987443447113,100,9.881591796875
810.9045398235321,100,9.881591796875
815.9099545478821,100,9.881591796875
820.915109872818,99,9.881591796875
825.9209544658661,100,9.881591796875
830.9260928630829,99,9.881591796875
835.932149887085,100,9.881591796875
840.9379160404205,99,9.881591796875
845.9449896812439,100,9.885498046875
850.9498250484467,100,9.881591796875
855.9511179924011,100,9.881591796875
860.9572060108185,100,9.8851318359375
865.963240146637,100,9.90771484375
870.96928191185,99,9.9051513671875
875.9741179943085,99,9.904052734375
880.9798369407654,100,9.88262939453125
885.985110282898,100,9.8807373046875
890.9942855834961,100,9.8807373046875
896.0003638267517,100,9.8807373046875
901.0061693191528,100,9.8807373046875
906.0130593776703,81,9.8856201171875
911.01837682724,100,9.8814697265625
916.0241024494171,100,9.8814697265625
921.02845454216,97,9.8814697265625
926.033961057663,100,9.8814697265625
931.0391607284546,97,9.8814697265625
936.0419709682465,100,9.8814697265625
941.0469079017639,100,9.8814697265625
946.052086353302,97,9.8814697265625
951.0578229427338,97,9.8814697265625
956.062983751297,97,9.8814697265625
961.0683646202087,97,9.8814697265625
966.0756368637085,97,9.8856201171875
971.0817158222198,100,9.8814697265625
976.0883417129517,100,9.8814697265625
981.0938718318939,99,9.8814697265625
986.0952637195587,92,9.8814697265625
991.1010949611664,99,9.8853759765625
996.1072900295258,100,9.88067626953125
1001.1131036281586,100,9.88067626953125
1006.1191399097443,100,9.88067626953125
1011.1250443458557,100,9.88067626953125
1016.1312005519867,99,9.88067626953125
1021.1369593143463,100,9.88067626953125
1026.1498007774353,99,9.88482666015625
1031.1548182964325,100,9.88067626953125
1036.1609206199646,100,9.88067626953125
1041.1661818027496,100,9.88067626953125
1046.1719100475311,100,9.88067626953125
1051.1782057285309,100,9.88067626953125
1056.1840236186981,100,9.88067626953125
1061.1901404857635,99,9.88067626953125
1066.1961724758148,100,9.88067626953125
1071.2021071910858,100,9.88067626953125
1076.2080523967743,100,9.88067626953125
1081.2130811214447,100,9.88067626953125
1086.2162308692932,99,9.88482666015625
1091.2221932411194,100,9.88067626953125
1096.2281563282013,99,9.88067626953125
1101.234280347824,100,9.88067626953125
1106.240121126175,99,9.88067626953125
1111.2459290027618,100,9.88067626953125
1116.25195479393,99,9.88067626953125
1121.2568516731262,100,9.88067626953125
1126.2602491378784,100,9.88067626953125
1131.26881980896,100,9.88067626953125
1136.2741343975067,97,9.88458251953125
1141.280207157135,97,9.88067626953125
1146.2871415615082,97,9.88482666015625
1151.2931106090546,100,9.88067626953125
1156.299175977707,100,9.88067626953125
1161.3051173686981,92,9.88067626953125
1166.3111367225647,100,9.88067626953125
1171.3172698020935,100,9.88067626953125
1176.3231766223907,100,9.87872314453125
1181.3290345668793,97,9.87872314453125
1186.3347997665405,97,9.87872314453125
1191.3406872749329,100,9.87872314453125
1196.3461186885834,100,9.87872314453125
1201.3523709774017,100,9.87872314453125
1206.3594126701355,100,9.88482666015625
1211.3654754161835,97,9.88067626953125
1216.3712787628174,99,9.88458251953125
1221.374694108963,100,9.88067626953125
1226.37987947464,99,9.88067626953125
1231.3857643604279,100,9.88067626953125
1236.390914440155,99,9.88067626953125
1241.3962213993073,100,9.88067626953125
1246.3996267318726,100,9.88067626953125
1251.4054217338562,100,9.88067626953125
1256.4114372730255,99,9.88067626953125
1261.4168591499329,100,9.88067626953125
1266.4238696098328,100,9.88482666015625
1271.4298899173737,100,9.88067626953125
1276.4309387207031,100,9.88067626953125
1281.4358537197113,100,9.88067626953125
1286.4412562847137,100,9.88067626953125
1291.444828748703,99,9.88067626953125
1296.4508645534515,100,9.88067626953125
1301.459342956543,100,9.88067626953125
1306.490450143814,100,9.88067626953125
1311.4961483478546,100,9.88067626953125
1316.5020656585693,99,9.88067626953125
1321.5082032680511,100,9.88067626953125
1326.515293598175,99,9.88482666015625
1331.521115064621,100,9.88067626953125
1336.5271134376526,100,9.88067626953125
1341.5329594612122,100,9.88067626953125
1346.538146018982,100,9.88067626953125
1351.5440864562988,100,9.88067626953125
1356.549825668335,97,9.88201904296875
1361.5551645755768,97,9.87811279296875
1366.5607242584229,97,9.87811279296875
1371.5659215450287,100,9.87811279296875
1376.5711109638214,100,9.87811279296875
1381.5770018100739,100,9.87811279296875
1386.5841319561005,100,9.88226318359375
1391.5900716781616,97,9.87811279296875
1396.5959148406982,97,9.87811279296875
1401.601086616516,97,9.87811279296875
1406.6071946620941,100,9.87811279296875
1411.613276720047,100,9.87811279296875
1416.6216750144958,92,9.87811279296875
1421.6275250911713,100,9.87811279296875
1426.6336953639984,100,9.87811279296875
1431.6396329402924,100,9.87811279296875
1436.6458098888397,97,9.87811279296875
1441.6487965583801,100,9.88201904296875
1446.6558616161346,99,9.88226318359375
1451.6608245372772,100,9.87811279296875
1456.6662929058075,100,9.87811279296875
1461.671974182129,99,9.87811279296875
1466.677133321762,100,9.87811279296875
1471.6830847263336,100,9.87811279296875
1476.6888363361359,99,9.87615966796875
1481.6941792964935,100,9.87615966796875
1486.7002122402191,99,9.87615966796875
1491.7058689594269,100,9.87615966796875
1496.7111523151398,99,9.87615966796875
1501.7170615196228,100,9.87615966796875
1506.7240948677063,100,9.88226318359375
1511.730075120926,100,9.87811279296875
1516.7361054420471,100,9.87811279296875
1521.7423202991486,99,9.87811279296875
1526.7479228973389,100,9.87811279296875
1531.7529270648956,100,9.87811279296875
1536.758987903595,100,9.87811279296875
1541.7639048099518,100,9.87811279296875
1546.768981218338,100,9.87811279296875
1551.7769241333008,100,9.87811279296875
1556.7829422950745,100,9.87811279296875
1561.789043188095,100,9.87811279296875
1566.7932143211365,99,9.88226318359375
1571.7990329265594,100,9.87811279296875
1576.805115699768,100,9.87811279296875
1581.8109278678894,100,9.88201904296875
1586.8138799667358,100,9.87811279296875
1591.8198564052582,100,9.87811279296875
1596.8256649971008,97,9.87811279296875
1601.8314514160156,97,9.87811279296875
1606.8371410369873,96,9.87811279296875
1611.8433051109314,92,9.87811279296875
1616.852870464325,100,9.87811279296875
1621.8579804897308,97,9.87811279296875
1626.865207195282,100,9.88226318359375
1631.8710877895355,100,9.87811279296875
1636.873963356018,97,9.87811279296875
1641.8801991939545,97,9.87811279296875
1646.8856599330902,98,9.87811279296875
1651.8910827636719,100,9.87811279296875
1656.8971757888794,100,9.87811279296875
1661.9033524990082,92,9.87811279296875
1666.9088335037231,100,9.88201904296875
1671.9116368293762,100,9.87811279296875
1676.9171087741852,100,9.87811279296875
1681.922968864441,100,9.87811279296875
1686.9328541755676,99,9.88226318359375
1691.9386806488037,100,9.87811279296875
1696.9447886943817,100,9.87811279296875
1701.9506356716156,99,9.87811279296875
1706.9558463096619,100,9.87811279296875
1711.961191892624,100,9.87811279296875
1716.96684217453,100,9.87811279296875
1721.9729766845703,100,9.87811279296875
1726.9780983924866,99,9.87811279296875
1731.9839754104614,100,9.87811279296875
1736.9895577430725,99,9.87811279296875
1741.9950518608093,100,9.87811279296875
1747.0021302700043,100,9.88226318359375
1752.0081448554993,100,9.87811279296875
1757.014042377472,100,9.87811279296875
1762.0189378261566,100,9.87811279296875
1767.0241358280182,100,9.87811279296875
1772.0271790027618,99,9.87811279296875
1777.0329525470734,100,9.87615966796875
1782.034167766571,100,9.87615966796875
1787.04008603096,100,9.87615966796875
1792.0459322929382,100,9.87615966796875
1797.0513563156128,100,9.87615966796875
1802.0573971271515,100,9.87615966796875
1807.0638389587402,100,9.88226318359375
1812.0691392421722,97,9.88201904296875
1817.0748958587646,97,9.87811279296875
1822.0809743404388,92,9.87811279296875
1827.0865495204926,92,9.87811279296875
1832.091817855835,100,9.87811279296875
1837.1032457351685,100,9.87811279296875
1842.109002828598,100,9.87811279296875
1847.1141533851624,100,9.87811279296875
1852.1201057434082,97,9.87811279296875
1857.1231896877289,100,9.87811279296875
1862.1276326179504,92,9.87811279296875
1867.1351227760315,100,9.88226318359375
1872.1438429355621,100,9.87811279296875
1877.1498646736145,100,9.87811279296875
1882.1557536125183,92,9.87811279296875
1887.1619107723236,92,9.87811279296875
1892.168431520462,8,9.88201904296875
1897.173905134201,100,9.88201904296875
1902.1799638271332,100,9.87811279296875
1907.1849641799927,100,9.87811279296875
1912.1901984214783,100,9.87811279296875
1917.1963520050049,99,9.87811279296875
1922.2024776935577,100,9.87811279296875
1927.2090756893158,100,9.88226318359375
1932.2143592834473,100,9.87811279296875
1937.2198293209076,99,9.87811279296875
1942.2258427143097,100,9.87811279296875
1947.2319407463074,100,9.87811279296875
1952.2372331619263,99,9.87811279296875
1957.243797302246,100,9.87811279296875
1962.2495634555817,100,9.87811279296875
1967.2557146549225,100,9.87811279296875
1972.2608680725098,100,9.87811279296875
1977.2667219638824,100,9.87811279296875
1982.2722280025482,100,9.87811279296875
1987.2794260978699,100,9.88226318359375
1992.2842235565186,99,9.87811279296875
1997.2902965545654,100,9.87811279296875
2002.2957997322083,99,9.87811279296875
2007.3018810749054,100,9.87811279296875
2012.3070802688599,99,9.87811279296875
2017.3129994869232,100,9.87811279296875
2022.3178985118866,100,9.87811279296875
2027.3237881660461,100,9.87811279296875
2032.3288807868958,100,9.87811279296875
2037.334088087082,100,9.88201904296875
2042.3398292064667,97,9.87811279296875
2047.3475036621094,97,9.88226318359375
2052.3533895015717,97,9.87823486328125
2057.3589222431183,97,9.87811279296875
2062.3649818897247,100,9.87811279296875
2067.370773077011,97,9.87811279296875
2072.3765659332275,97,9.87811279296875
2077.382637023926,97,9.87615966796875
2082.3887877464294,97,9.87615966796875
2087.40087389946,97,9.87615966796875
2092.4059693813324,97,9.87615966796875
2097.4113416671753,100,9.87615966796875
2102.416820526123,100,9.87615966796875
2107.4239132404327,97,9.88031005859375
2112.429963827133,97,9.87615966796875
2117.435772418976,99,9.88006591796875
2122.4411444664,100,9.87615966796875
2127.4470522403717,99,9.87615966796875
2132.4487829208374,100,9.87615966796875
2137.4547011852264,100,9.87615966796875
2142.460790872574,100,9.87615966796875
2147.4658229351044,100,9.87615966796875
2152.47110080719,100,9.87615966796875
2157.4771213531494,100,9.87615966796875
2162.479826927185,99,9.87615966796875
2167.487144470215,100,9.88031005859375
2172.4930803775787,99,9.87615966796875
2177.497636795044,100,9.87615966796875
2182.5030846595764,99,9.87615966796875
2187.509173154831,100,9.87615966796875
2192.5149626731873,100,9.87615966796875
2197.5201160907745,100,9.87615966796875
2202.5235896110535,100,9.87615966796875
2207.527113199234,100,9.87615966796875
2212.5329048633575,100,9.87615966796875
2217.5389676094055,100,9.87615966796875
2222.5447928905487,100,9.87615966796875
2227.554923057556,100,9.88031005859375
2232.5607306957245,100,9.87615966796875
2237.56685090065,99,9.87615966796875
2242.5727548599243,100,9.87615966796875
2247.5786566734314,99,9.87615966796875
2252.58473944664,100,9.87615966796875
2257.5891406536102,100,9.87615966796875
2262.59507894516,97,9.88006591796875
2267.601110935211,98,9.87615966796875
2272.606926679611,100,9.87615966796875
2277.612800836563,100,9.87615966796875
2282.6181712150574,97,9.87615966796875
2287.625470161438,97,9.88031005859375
2292.63152384758,97,9.87615966796875
2297.6356678009033,97,9.87615966796875
2302.6417167186737,100,9.87615966796875
2307.648449897766,100,9.87615966796875
2312.6542415618896,100,9.87615966796875
2317.6601831912994,92,9.87615966796875
2322.6659100055695,92,9.87615966796875
2327.6707997322083,97,9.87615966796875
2332.6768760681152,100,9.87615966796875
2337.6791310310364,97,9.87615966796875
2342.680573940277,100,9.88006591796875
2347.6885130405426,100,9.88031005859375
2352.694083929062,100,9.87615966796875
2357.6998851299286,100,9.87615966796875
2362.7110056877136,100,9.87615966796875
2367.716799020767,100,9.87615966796875
2372.7221026420593,100,9.87615966796875
2377.7281954288483,100,9.87579345703125
2382.73384642601,100,9.87579345703125
2387.7400550842285,100,9.87579345703125
2392.745950937271,99,9.87579345703125
2397.7520740032196,100,9.87579345703125
2402.7581658363342,100,9.87579345703125
2407.7649223804474,99,9.87994384765625
2412.7708926200867,100,9.87579345703125
2417.775890827179,99,9.87579345703125
2422.781013250351,100,9.87579345703125
2427.786114692688,99,9.87579345703125
2432.79181933403,100,9.87579345703125
2437.796802043915,100,9.87579345703125
2442.8020946979523,100,9.87579345703125
2447.8079936504364,100,9.87579345703125
2452.8129637241364,99,9.87579345703125
2457.819015979767,100,9.87579345703125
2462.824830532074,100,9.87579345703125
2467.832287311554,100,9.87994384765625
2472.838091611862,100,9.87579345703125
2477.8438107967377,100,9.87579345703125
2482.8492300510406,100,9.87579345703125
2487.8548531532288,92,9.87969970703125
2492.8599128723145,92,9.87579345703125
