Time (s),GPU Utilization (%),Memory Used (GB)
0.07545757293701172,0,5.8468017578125
5.081520318984985,99,7.513916015625
10.084106922149658,93,7.59130859375
15.09031867980957,98,7.5556640625
20.096354484558105,99,7.51934814453125
25.102148056030273,90,7.51934814453125
30.108075380325317,98,7.51934814453125
35.11413502693176,98,7.52325439453125
40.119563579559326,98,7.54473876953125
45.12457633018494,98,7.57989501953125
50.13057827949524,99,7.62286376953125
55.13645672798157,99,7.62286376953125
60.14180016517639,99,7.62286376953125
65.14872217178345,99,7.63153076171875
70.15385317802429,99,7.62286376953125
75.15977478027344,98,7.64044189453125
80.16568899154663,99,14.56231689453125
85.17172431945801,99,14.56231689453125
90.1774652004242,99,14.56231689453125
95.18327307701111,99,14.56231689453125
100.18868970870972,99,14.56231689453125
105.1945321559906,98,14.56231689453125
110.1988480091095,99,21.27325439453125
115.20498538017273,99,21.27325439453125
120.21080136299133,99,21.27325439453125
125.2136116027832,99,21.28106689453125
130.22049117088318,98,21.27325439453125
135.2256417274475,99,21.27325439453125
140.23167729377747,99,21.27325439453125
145.23771500587463,99,21.27325439453125
150.24354672431946,99,21.27325439453125
155.24880242347717,99,21.27325439453125
160.25473356246948,99,21.27325439453125
165.2606430053711,99,21.27325439453125
170.26580333709717,99,21.27325439453125
175.27174854278564,99,21.27325439453125
180.27769565582275,99,21.27325439453125
185.27970337867737,99,21.28106689453125
190.28458189964294,99,21.27325439453125
195.2895369529724,98,21.27325439453125
200.29562401771545,99,21.27325439453125
205.3014817237854,99,21.27325439453125
210.30756258964539,99,21.27325439453125
215.31246376037598,99,21.27325439453125
220.31832098960876,99,21.27325439453125
225.3244388103485,98,21.27117919921875
230.33020305633545,99,21.27117919921875
235.33576226234436,99,21.27117919921875
240.34487438201904,99,21.27117919921875
245.3504762649536,98,21.27899169921875
250.35583305358887,99,21.27117919921875
255.36191725730896,98,21.27117919921875
260.36764550209045,99,21.27117919921875
265.3837125301361,0,21.27117919921875
270.3899405002594,99,21.27899169921875
275.39577555656433,91,21.27294921875
280.4016239643097,99,21.27294921875
285.40780901908875,98,21.27294921875
290.41380643844604,99,21.27294921875
295.4197540283203,91,21.27294921875
300.42581605911255,99,21.27294921875
305.4325215816498,99,21.27685546875
310.4378161430359,98,21.26904296875
315.44358825683594,98,21.26904296875
320.44952630996704,99,21.26904296875
325.4544687271118,99,21.26904296875
330.4595146179199,99,21.26904296875
335.46468353271484,99,21.26904296875
340.470903635025,99,21.26904296875
345.47657895088196,98,21.26904296875
350.4823682308197,99,21.26904296875
355.4878077507019,99,21.26904296875
360.493803024292,99,21.26904296875
365.5033128261566,99,21.27685546875
370.5084960460663,99,21.26904296875
375.5145854949951,80,21.26904296875
380.52056860923767,99,21.26904296875
385.52632689476013,99,21.26904296875
390.53233909606934,99,21.26904296875
395.53757333755493,99,21.26904296875
400.5435664653778,99,21.26904296875
405.5496361255646,83,21.26904296875
410.55548906326294,99,21.26904296875
415.5615530014038,99,21.26904296875
420.5674502849579,99,21.26904296875
425.5741069316864,99,21.27685546875
430.5798134803772,99,21.26904296875
435.6354329586029,78,21.26904296875
440.6412193775177,99,21.26904296875
445.64650440216064,99,21.26904296875
450.65257596969604,99,21.26904296875
455.6575963497162,99,21.26904296875
460.6626238822937,99,21.26904296875
465.82742857933044,76,21.26904296875
470.83330845832825,99,21.26904296875
475.83857560157776,99,21.26904296875
480.84464955329895,99,21.26904296875
485.85020995140076,99,21.27685546875
490.8615872859955,99,21.26904296875
495.87681913375854,0,21.26904296875
500.8826322555542,99,21.26904296875
505.8885316848755,99,21.26904296875
510.8945951461792,99,21.26904296875
515.9005832672119,99,21.26904296875
520.9059927463531,98,21.26904296875
525.9220993518829,0,21.23663330078125
530.9281780719757,99,21.23663330078125
535.9339008331299,98,21.24444580078125
540.939857006073,91,21.24053955078125
545.9430334568024,91,21.24444580078125
550.9486544132233,99,21.24053955078125
555.9547207355499,99,21.24053955078125
560.9608268737793,91,21.24053955078125
565.9666414260864,99,21.24053955078125
570.9718065261841,96,21.24444580078125
575.977620601654,98,21.23663330078125
580.9831101894379,98,21.23663330078125
585.9891753196716,99,21.23663330078125
590.9946045875549,99,21.23663330078125
595.9997925758362,99,21.23663330078125
601.0057640075684,99,21.23663330078125
606.0120849609375,99,21.23846435546875
611.0225245952606,99,21.23065185546875
616.0283854007721,99,21.23065185546875
621.0338125228882,99,21.23065185546875
626.0383644104004,99,21.23065185546875
631.0443494319916,99,21.23065185546875
636.0473284721375,99,21.23065185546875
641.0529034137726,98,21.23065185546875
646.0587372779846,99,21.23065185546875
651.0648787021637,99,21.23065185546875
656.0706920623779,99,21.23065185546875
661.0759117603302,99,21.23065185546875
666.0828666687012,99,21.23846435546875
671.0887942314148,98,21.23065185546875
676.0938148498535,99,21.23065185546875
681.0998976230621,99,21.23065185546875
686.1060361862183,99,21.23065185546875
691.1118223667145,99,21.23065185546875
696.1177337169647,99,21.23065185546875
701.1205611228943,98,21.23065185546875
706.1257700920105,99,21.23065185546875
711.1320719718933,99,21.23065185546875
716.1378674507141,99,21.23065185546875
721.1439249515533,99,21.23065185546875
726.150582075119,99,21.23846435546875
731.1566390991211,98,21.23065185546875
736.1625561714172,99,21.23065185546875
741.1675865650177,99,21.23065185546875
746.1776719093323,99,21.23065185546875
751.1824140548706,99,21.23065185546875
756.1881394386292,99,21.23065185546875
761.1937601566315,98,21.23065185546875
766.198902130127,99,21.23065185546875
771.205153465271,99,21.23065185546875
776.2111127376556,99,21.23065185546875
781.216958284378,99,21.23065185546875
786.2242081165314,99,21.23846435546875
791.2295589447021,98,21.23065185546875
796.2345147132874,99,21.23065185546875
801.249974489212,0,21.23065185546875
806.2560484409332,98,21.23846435546875
811.261866569519,91,21.23455810546875
816.267863035202,92,21.23455810546875
821.2738008499146,99,21.23455810546875
826.2797091007233,99,21.23455810546875
831.2848420143127,95,21.23455810546875
836.2908270359039,92,21.23455810546875
841.2966129779816,99,21.23846435546875
846.3037645816803,98,21.23846435546875
851.3095316886902,97,21.23065185546875
856.3156118392944,99,21.23065185546875
861.3208091259003,99,21.23065185546875
866.3265571594238,99,21.23065185546875
871.3369748592377,99,21.23065185546875
876.3427548408508,99,21.23065185546875
881.3488576412201,98,21.23065185546875
886.3546721935272,99,21.23065185546875
891.3605470657349,99,21.23065185546875
896.3658385276794,99,21.23065185546875
901.3716232776642,99,21.23065185546875
906.3778398036957,99,21.23846435546875
911.3838183879852,98,21.23065185546875
916.3901772499084,99,21.23065185546875
921.3962132930756,99,21.23065185546875
926.4020118713379,99,21.23065185546875
931.4075257778168,99,21.23065185546875
936.4135880470276,99,21.23065185546875
941.4194025993347,98,21.23065185546875
946.4255135059357,99,21.23065185546875
951.4315617084503,99,21.23065185546875
956.4373834133148,99,21.23065185546875
961.4434180259705,99,21.23065185546875
966.4507312774658,99,21.23846435546875
971.4568428993225,98,21.23065185546875
976.462908744812,99,21.23065185546875
981.4688074588776,99,21.23065185546875
986.4743430614471,99,21.23065185546875
991.4796016216278,99,21.23065185546875
996.4856271743774,99,21.23065185546875
1001.4939303398132,98,21.23065185546875
1006.4995789527893,99,21.23065185546875
1011.5045511722565,99,21.23065185546875
1016.5097734928131,99,21.23065185546875
1021.5148360729218,99,21.23065185546875
1026.5189185142517,99,21.23846435546875
1031.5245592594147,98,21.23065185546875
1036.5299696922302,99,21.23065185546875
1041.535923242569,99,21.23065185546875
1046.541640996933,99,21.23065185546875
1051.5466454029083,99,21.23065185546875
1056.55184674263,99,21.23065185546875
1061.5577583312988,98,21.23065185546875
1066.5634801387787,99,21.23065185546875
1071.5841927528381,0,21.23065185546875
1076.589823961258,98,21.23846435546875
1081.5957181453705,91,21.23455810546875
1086.6029272079468,92,21.23846435546875
1091.6088209152222,99,21.23455810546875
1096.614771604538,99,21.23455810546875
1101.6208145618439,99,21.23455810546875
1106.6266300678253,91,21.23455810546875
1111.632886171341,98,21.23846435546875
1116.63876080513,98,21.23065185546875
1121.644638299942,98,21.23065185546875
1126.6523206233978,99,21.23065185546875
1131.6575179100037,99,21.23065185546875
1136.6628229618073,99,21.23065185546875
1141.6687686443329,99,21.23065185546875
1146.6782567501068,99,21.23846435546875
1151.694819688797,9,21.23065185546875
1156.7009122371674,99,21.23065185546875
1161.706248998642,99,21.23065185546875
1166.7123482227325,99,21.23065185546875
1171.7182466983795,99,21.23065185546875
1176.7240405082703,98,21.23065185546875
1181.745276927948,8,21.23065185546875
1186.7513704299927,99,21.23065185546875
1191.75661110878,99,21.23065185546875
1196.7618021965027,99,21.23065185546875
1201.767896413803,99,21.23065185546875
1206.77481341362,99,21.23846435546875
1211.9861612319946,26,21.23065185546875
1216.9916362762451,99,21.23065185546875
1221.997708082199,99,21.23065185546875
1227.0025465488434,99,21.23065185546875
1232.0078551769257,99,21.23065185546875
1237.0163886547089,98,21.23065185546875
1242.0317540168762,0,21.23065185546875
1247.0375888347626,99,21.23065185546875
1252.0426700115204,99,21.23065185546875
1257.0478358268738,99,21.23065185546875
1262.0535848140717,99,21.23065185546875
1267.0627343654633,99,21.23846435546875
1272.0778107643127,0,21.23065185546875
1277.0837166309357,99,21.23065185546875
1282.0894658565521,99,21.23065185546875
1287.0939214229584,99,21.23065185546875
1292.099829673767,99,21.23065185546875
1297.1055562496185,99,21.23065185546875
1302.119598865509,0,21.23065185546875
1307.1248562335968,99,21.23065185546875
1312.1310453414917,99,21.23065185546875
1317.1347951889038,99,21.23065185546875
1322.1408519744873,99,21.23065185546875
1327.1481220722198,99,21.23846435546875
1332.1694521903992,0,21.23065185546875
1337.1745054721832,99,21.23065185546875
1342.1819500923157,97,21.23846435546875
1347.1877369880676,92,21.23455810546875
1352.190827846527,99,21.23455810546875
1357.196786403656,99,21.23455810546875
1362.2025430202484,91,21.23455810546875
1367.2086691856384,99,21.23455810546875
1372.2146837711334,99,21.23455810546875
1377.2195494174957,97,21.23846435546875
1382.2256405353546,98,21.23065185546875
1387.2326283454895,98,21.23846435546875
1392.2388679981232,99,21.23065185546875
1397.2445814609528,99,21.23065185546875
1402.2503621578217,99,21.23065185546875
1407.2563779354095,99,21.23065185546875
1412.2621881961823,99,21.23065185546875
1417.2679891586304,98,21.23065185546875
1422.2740452289581,99,21.23065185546875
1427.2798211574554,99,21.23065185546875
1432.2862477302551,99,21.23065185546875
1437.2918090820312,99,21.23065185546875
1442.2975792884827,99,21.23065185546875
1447.3048164844513,99,21.23846435546875
1452.3107552528381,99,21.23065185546875
1457.316828250885,99,21.23065185546875
1462.3228278160095,99,21.23065185546875
1467.3287208080292,99,21.23065185546875
1472.3390522003174,99,21.23065185546875
1477.3445699214935,99,21.23065185546875
1482.3506772518158,99,21.23065185546875
1487.355848312378,99,21.23065185546875
1492.3600811958313,99,21.23065185546875
1497.3633608818054,99,21.23065185546875
1502.3694417476654,99,21.23065185546875
1507.3776342868805,98,21.23846435546875
1512.3837268352509,99,21.23065185546875
1517.3895936012268,99,21.23065185546875
